id,tcg_id
959524,xy9-33
959642,xy9-33
959540,xy9-49
959656,xy9-49
959228,xy8-40
959388,xy8-40
959295,xy8-106
959446,xy8-106
959322,xy8-133
959472,xy8-133
959297,xy8-108
959298,xy8-109
959448,xy8-108
959449,xy8-109
959263,xy8-74
959417,xy8-74
959214,xy8-26
959376,xy8-26
959319,xy8-130
959469,xy8-130
959323,xy8-134
959350,xy8-161
959473,xy8-134
959285,xy8-96
959437,xy8-96
959284,xy8-95
959436,xy8-95
959324,xy8-135
959474,xy8-135
959340,xy8-151
959490,xy8-151
959192,xy8-4
959357,xy8-4
959277,xy8-88
959430,xy8-88
959317,xy8-128
959467,xy8-128
959199,xy8-11
959200,xy8-12
959364,xy8-11
959195,xy8-7
959196,xy8-8
959197,xy8-9
959360,xy8-7
959361,xy8-8
959362,xy8-9
959259,xy8-70
959413,xy8-70
959266,xy8-77
